,video_ids,nsfw_scores
340,SL45a75_cd4,0.2167
341,RHXDfgNjnPA,0.2249
342,QIahhWQgNgk,0.036
343,uctgnv_aX3k,0.0881
344,g_uHluYGPtg,0.0
345,eurX0k0UYoY,0.0374
346,_akEYecFdyM,0.0063
347,XOh_NwePRos,0.0207
348,wvZtYgIIe2E,0.0017
349,0dsCVAH1iQ8,0.0441
350,UBivwxBgdPQ,0.1953
351,MvvEfguRha0,0.0129
352,lldfoaV9mc8,0.2336
353,UFJtoVS8Qx0,0.001
354,--WHBVeDrZM,0.0001
355,EXiZtoKWsLM,0.019
356,FzOrff-KoCg,0.0074
357,3dhfunD1a-0,0.0144
358,7LI0lWknANE,0.0255
359,R0Fuci4YrdY,0.6145
360,i8nqsIIFp2o,0.0019
361,5sACMTVqyvE,0.0038
362,CD-E-LDc384,0.0128
363,75d_29QWELk,0.0012
364,gQx-1XKxUDs,0.0013
365,RqiNKk-o_Bg,0.0073
366,yuGD4AvlbcM,0.0178
367,tj1ZLeBz4J4,0.0102
368,g9BMcIxrkF4,0.0355
369,OhMrElwQvqc,0.0093
370,3nQaUal-LD0,0.0044
371,a9JxLJlHqPg,0.0051
372,5aXrDnJxQYk,0.0107
373,09jofQX17WM,0.0018
374,uWohkaIb-Ss,0.0124
375,iO6S8XMT0QQ,0.0012
376,w_ejnHxTWrU,0.0007
377,hX7xcxpxHhU,0.3115
378,BTDdT4whpRQ,0.0024
379,W6JTMowQEjM,0.0023
380,dVeZbaerhu8,0.0002
381,U60Z2w46itg,0.0278
382,4D_OwIyiTYU,0.0621
383,VEE2pqB8Tx8,0.2901
384,PWK0DAoRKSI,0.243
385,gfCRxrSeBN4,0.0484
386,3PnOS94d6v0,0.028
387,Q_fkEbTXz-o,0.0397
388,j6mKL0ccOIA,0.056
389,XFr0dk6Ca7o,0.014
390,rFT67I-siYA,0.0661
391,wyRvJQUahsI,0.0034
392,V0O7fk8u3mk,0.0045
393,Qek_UPifJhs,0.025
394,1sbbWXjAro8,0.0149
395,nQ1mmVG-G1g,0.0018
396,3WQq2y1qIfE,0.002
397,LmwPop3Pulg,0.0063
398,giFKH2sWGlM,0.0028
399,s60KsSIoops,0.0019
400,txXgkYIalDY,0.0016
401,Z5vOneSK8po,0.0006
402,WnaDkex0xm0,0.0037
403,vc_OvvStfZ0,0.0764
404,_8xhdL8BPvU,0.0116
405,YzgMePQvSdc,0.0211
406,CD5mewet-fE,0.0001
407,iDZzGooj3DA,0.0042
408,wZZ6WJnCF_4,0.008
409,iogeqIpfZ-c,0.0054
410,X8-qnUyJSlc,0.1181
411,tlfKx2drOFg,0.0
412,kG9MM_7Wtvg,0.1082
413,iQEaYnG25_U,0.0296
414,8SAlKoRcicM,0.0045
415,5gqByAvf9PQ,0.1289
416,4N16y9bVqes,0.0008
417,AYy3UyD7C1M,0.0012
418,02PiYzdGDDY,0.0031
419,4mwztZ9Rn50,0.0124
420,VAAJOkdb5Fg,0.0073
421,BYv66FmUgzU,0.0015
422,SO1R0mKCx0E,0.0108
423,raWRkz9SqtM,0.7089
424,H0UEde0T1xs,0.0002
425,-folFCGyuQQ,0.2504
426,K-L3QGv0pzM,0.0001
427,wSUItoLwbSo,0.0018
428,hBVvEFHwpLY,0.0516
429,eK2cuu59WLk,0.1421
430,U7tF8j4Zbx4,0.1483
431,GSuFSYY-X9w,0.0832
432,C680oxL__ck,0.0015
433,nRuWE-PIvU8,0.0083
434,AHC2LHxIPoA,0.0055
435,QBY-0Tc6YXI,0.0007
436,tof-R9djLeY,0.0003
437,hW4pTE8lVZw,0.009
438,7JYJq6YGnL4,0.0085
439,LqEm-bCll_E,0.037
440,F3KsdeUDSrA,0.004
441,eEUFUqNwztU,0.0009
442,EdzQ9wEOElw,0.0155
443,3kTdIa2AWAA,0.0149
444,avye5XNxXXg,0.0033
445,4cnIMhvlBO4,0.0169
446,jh4ag4FTpVI,0.0134
447,9BrANukDWMw,0.0167
448,t0M2qoNdBck,0.0005
449,LEENEFaVUzU,0.0014
450,jmWmiQt24sU,0.0092
451,RqIi0gq63sg,0.0498
452,hyMIeCyT6rk,0.0246
453,yw_nqzVfxFQ,0.0079
454,KRvv0QdruMQ,0.0064
455,F9xISqd4Yn8,0.2461
456,1wYpFnhIdSg,0.0013
457,Xoh9RY9uLdk,0.2211
458,Ook-J58HnvM,0.037
459,aLGNlGCPlFw,0.0056
460,-o6gOmd8Q3Q,0.0031
461,Pwui--TsuGA,0.0054
462,HoRmVsuLlmM,0.0019
463,BGxvfZ4Y3Q8,0.0051
464,nD6qsOPTaKQ,0.0089
465,KncngYDCy5g,0.0037
466,8nmo0PyuQQo,0.0003
467,yi0AL-1vSNw,0.0906
468,Y6XBzi19-yc,0.001
469,85THEQqmJUM,0.0264
470,GC8VIOK9kDw,0.0131
471,qFSZFLY3MZo,0.0006
472,HjBo--1n8lI,0.0039
473,EiCo2_n64fY,0.0012
474,jRtLcPTbrxo,0.0127
475,pXz68mA_9iQ,0.0183
476,V2x8ts5STzY,0.0011
477,sQDrj7JOAYQ,0.0046
478,-1tiWLWM1oU,0.0119
479,gN0pQZGKQAs,0.0002
480,wJmg0uc3CjY,0.0019
481,eItCv1Pxccg,0.0014
482,2Jk8e59-Jlo,0.0088
483,iNFhmwrctiE,0.0032
484,MaJEUOI3KlY,0.0018
