,video_id,label_1,label_2,label_3
462,HoRmVsuLlmM,,,
463,BGxvfZ4Y3Q8,person,,
464,nD6qsOPTaKQ,,,
465,KncngYDCy5g,bus,aeroplane,
466,8nmo0PyuQQo,,,
467,yi0AL-1vSNw,person,,
468,Y6XBzi19-yc,motorbike,truck,traffic light
469,85THEQqmJUM,,,
470,GC8VIOK9kDw,,,
471,qFSZFLY3MZo,,,
472,HjBo--1n8lI,person,,
473,EiCo2_n64fY,,,
474,jRtLcPTbrxo,,,
475,pXz68mA_9iQ,,,
476,V2x8ts5STzY,,,
477,sQDrj7JOAYQ,bicycle,motorbike,train
478,-1tiWLWM1oU,person,motorbike,
479,gN0pQZGKQAs,,,
480,wJmg0uc3CjY,,,
481,eItCv1Pxccg,aeroplane,bicycle,
482,2Jk8e59-Jlo,car,,
483,iNFhmwrctiE,person,,
484,MaJEUOI3KlY,bicycle,,
485,mle-dEOfr6A,boat,car,
486,0OGN0ZBzNWM,,,
487,U-PHdAt8Zq8,motorbike,cat,traffic light
488,W29oJzQtnC8,car,aeroplane,
489,6jhqKuYEDzg,bicycle,,
490,4ASM44qvE80,,,
491,7PYTGfpjEmk,person,,
492,VEVLHtzFle4,,,
493,jlJ1WeWI8PU,motorbike,train,bicycle
494,x7qRrBroAao,person,,
495,5O9adtq3_ZI,person,car,
496,-FBwZtuJtMw,,,
497,I5Evh8ri0_0,person,aeroplane,boat
498,NQYdMRdRY40,person,,
499,0UNY2uluj5k,aeroplane,,
500,HBTr4SDqztk,motorbike,aeroplane,bicycle
501,5uT4s_NWBN0,truck,bicycle,train
502,Xehb9Fz267Y,aeroplane,car,truck
503,wcp1BfPUeOc,,,
504,OrD8ecGdm_c,person,,
505,6mDPOuythv4,person,,
506,7j1lMs7fcIQ,bicycle,,
507,XSCXrIsp5Q8,person,,
508,O2secyMBWSk,bicycle,,
509,-FmwUjBAdN0,,,
510,4tkpvdECaVg,,,
511,Fk_psHw6eZk,,,
512,E15aqzQN9zo,car,fire hydrant,train
513,5g5j6_hUOSY,boat,aeroplane,fire hydrant
514,0qSfPFlRwLQ,car,bicycle,
515,VbPdjKlla5c,,,
516,md8R7kBoyOs,bicycle,,
517,l_RtpWGa8LY,,,
518,8j7K9gx9tAY,,,
519,BFwAIJeYwvg,,,
520,zMpprTBefdg,,,
521,FTnsY1MK5lg,person,,
522,FExS3lFEwqc,,,
523,-_I4hECDZ_E,aeroplane,traffic light,boat
524,UIRSSM2ZPf8,,,
525,JZ6vFGldyq4,motorbike,parking meter,train
526,4sg3UYW_AlI,,,
527,3sMXR_TdTfs,person,,
528,Aa4OJalU0t0,truck,fire hydrant,bicycle
529,ZkBOdhOdMb8,,,
530,2tn8hj4MhD8,bicycle,,
531,KA3KDbU5dqk,car,,
532,4PnFuEbzxos,,,
533,6GeZdZ4LR5c,,,
534,aPq9-m1YHj4,,,
535,lM_hi8NrgXA,aeroplane,car,
536,Tl8CaZVMQzw,bicycle,aeroplane,bus
537,_u-7rWKnVVo,,,
538,3FobttuoPwQ,person,,
539,XGfSUHILLi8,,,
540,arn-hjCJe5E,bicycle,,
541,sFv3r9dkuTs,,,
542,hX0n_Mg1uBQ,,,
543,jzUi2iIVY4k,,,
544,sniWDkW-Fwc,,,
545,H4eP1TTedYc,car,,
546,NJ_sGE1DUQE,,,
547,SwYv1vrJ_J4,motorbike,person,
548,Oie--p6YqJo,,,
549,9PpFH1G9Ivo,,,
550,ADSRX8Khvsg,aeroplane,truck,
551,EgTPljXGyHc,car,train,parking meter
552,qI9z1ECGrHk,train,bicycle,
553,hf8uS5meTW0,person,,
554,yvhqzqU4k_M,person,,
555,9kQPnFXQBmw,,,
556,Qu35sMSOW94,bicycle,train,
557,er3iftyYxbs,car,person,bicycle
558,QPxrA-9CUPQ,,,
559,phieTCxQRLA,motorbike,aeroplane,
560,TPo8nXTxm44,car,,
561,mJnKfITnebg,person,,
562,Xdwubdx8wT8,truck,car,
563,M9hVE5DiGDQ,motorbike,,
564,b_sUXZbJbPY,,,
565,Ns8NvPPHX5Y,car,aeroplane,
566,B7yOO4oKMVc,bicycle,,
567,aZ54seKWEEU,car,,
568,RqhGUc5ynQ8,person,,
569,ls2TxZ2afBc,person,,
570,TgU3IvrrvxM,truck,aeroplane,person
571,I_CwFdp5vHo,,,
572,uZFo7lKGEqo,car,bus,
573,P3hpKBXYeEA,,,
574,2TbTzOLo6lw,car,person,
575,ay2shlCzl24,aeroplane,person,motorbike
576,StnPwg1TVVA,bicycle,motorbike,
577,lCeb1gAWdWU,,,
578,qEmr5xFEQ0k,person,,
579,a8ds6SnOGow,,,
580,NSh6dHxLEME,,,
581,Zo1T_gGIDBQ,person,motorbike,
582,pWizDn1OVDg,person,,
583,DXDBTpLdJWo,bicycle,,
584,BPGgyputhpA,motorbike,traffic light,bicycle
585,rxmmOtjOlaE,person,cat,traffic light
586,SkgPFSuppr4,bus,truck,parking meter
587,kxS7IgTZebs,,,
588,PM_RY6aCJfA,,,
589,eY8lhv-Uzdc,bicycle,,
590,J53FcfuSlYA,person,,
591,ZYetOeg1FnU,,,
592,Iibs7buNwxQ,,,
593,y1RaFUcWr4s,,,
594,aKLobzbLxuY,aeroplane,bicycle,person
595,E1Ihrqggnnc,person,,
596,J5twEwothwc,,,
597,w9Km4iVsUeQ,train,motorbike,
598,yhk5u-jl8Us,car,bicycle,
599,g435_rZCt3s,,,
600,V8GiTYD6PVA,person,aeroplane,
601,4tdKl-gTpZg,,,
602,MrTz5xjmso4,car,,
603,NvKjO-8DusE,person,,
604,URWlgTItsKY,train,motorbike,
605,g3DuMiplGHU,person,,
606,-xBAM1TRSKA,,,
607,TREEmJ51I7E,aeroplane,,
608,S383OvjXX48,bicycle,,
609,gQ0mfeLqcW0,car,traffic light,bus
610,rz12loouSsE,bicycle,bus,
611,co2VgbHvgVI,car,bus,aeroplane
612,7cpWa0La_AA,car,traffic light,train
613,nXnC64dfPHY,person,,
614,ns1Vs_csIus,person,,
615,heP_2lh3cBA,,,
