,video_id,label_1,label_2,label_3
208,jtIZZs-GAOA,nipple,ping-pong_ball,pop_bottle
209,WCru1nJI57I,ping-pong_ball,magnetic_compass,necklace
210,38-ji37hzlE,ping-pong_ball,backpack,dingo
211,FmHLvJkc7Gg,yurt,fire_screen,cinema
212,tRwUtg7ZX6Q,dingo,ping-pong_ball,backpack
213,qEV9qoup2mQ,military_uniform,projectile,ping-pong_ball
214,Ytm8VsQPS3o,safety_pin,golf_ball,ping-pong_ball
215,9Y18-07g39g,backpack,military_uniform,ping-pong_ball
216,78GVRzSnyGo,backpack,military_uniform,purse
217,LU9JtSwxBqI,ping-pong_ball,backpack,dingo
218,Lgd78PUXkPo,mixing_bowl,Norwegian_elkhound,keeshond
219,M6jzUhLmoEc,necklace,backpack,ping-pong_ball
220,uuSj5EW6ELA,nipple,bib,Labrador_retriever
221,ZLLcxNiQ9Yg,acorn,red-backed_sandpiper,yurt
222,3RwzjHB6y5Y,mixing_bowl,safety_pin,ping-pong_ball
223,qIsgdOVGA04,ping-pong_ball,tow_truck,Labrador_retriever
224,Xvt9vcoyipA,bib,chain,cinema
225,Ll1bLppLh4Y,mixing_bowl,safety_pin,keeshond
226,TBmOMziLNcU,bib,backpack,red-backed_sandpiper
227,2Mkq6GFLIsk,ping-pong_ball,pop_bottle,keeshond
228,yS5w6Ozpdq4,nipple,Labrador_retriever,ping-pong_ball
229,PK2SMIOHYig,abacus,military_uniform,keeshond
230,u9HJDC3I_Qg,military_uniform,dingo,Dungeness_crab
231,eQi3FrEnn5o,bulletproof_vest,nipple,keeshond
232,ycNSY3d1WLc,ping-pong_ball,military_uniform,pop_bottle
233,UyvhqC5sIsI,pop_bottle,scoreboard,abacus
234,tIUahhljm44,ping-pong_ball,dingo,nipple
235,GjgImsVqPfg,bib,cinema,backpack
236,m3u-_2WaTM4,nipple,jeep,ping-pong_ball
237,_mz4OMbBoRY,ping-pong_ball,sunglasses,safety_pin
238,rcWcchtcf1w,ping-pong_ball,forklift,tow_truck
239,venQs8fEu1Y,scoreboard,ping-pong_ball,pop_bottle
240,bL9ayAkWsV4,groenendael,fire_screen,yurt
241,zaTi7YjDyDw,backpack,Dutch_oven,ping-pong_ball
242,UoNAmRwf5qk,ping-pong_ball,dingo,backpack
243,fXb02MQ78yQ,ping-pong_ball,nipple,fire_screen
244,LI8-QOOPzV0,ping-pong_ball,military_uniform,dingo
245,MHqxaXCzxNE,backpack,pillow,dingo
246,FSCvulo6fJQ,pajama,ping-pong_ball,military_uniform
247,pQ9gSEzku-E,buckle,Dungeness_crab,military_uniform
248,ePldSI0SGCg,ping-pong_ball,military_uniform,lens_cap
249,TYeQqLt1DLY,military_uniform,necklace,rifle
250,ZVAS5-HelDY,dingo,backpack,ping-pong_ball
251,qaZY_unJFaA,ping-pong_ball,bottlecap,pop_bottle
252,asUxDFssLFQ,military_uniform,necklace,rifle
253,ER6NX7UXCJA,safety_pin,ballpoint,scoreboard
254,dI4EoLtdoeE,ping-pong_ball,necklace,dingo
255,_jhufVHuKbM,ping-pong_ball,necklace,snowmobile
256,kTBWEsJ2l_w,ping-pong_ball,military_uniform,dingo
257,bFw52SdQSOQ,mixing_bowl,plate_rack,carton
258,ta4UnmpxC-Y,military_uniform,Dungeness_crab,fire_engine
259,0mx3Hwq4QXw,dingo,ping-pong_ball,backpack
260,z6AF4HPpWF8,cinema,necklace,military_uniform
261,bmFGbBmlyKQ,sea_urchin,scoreboard,rubber_eraser
262,cZXzwDN-V9M,ping-pong_ball,sunscreen,mixing_bowl
263,voYdl7IFZsM,ping-pong_ball,military_uniform,necklace
264,GDpq6HZQBHI,pop_bottle,scoreboard,ping-pong_ball
265,rSF8gPD3QbA,pajama,pop_bottle,bib
266,hD8vw-JE4Qw,backpack,pencil_box,bib
267,UPDURM7Wodo,backpack,military_uniform,bib
268,sAoDZy5R054,military_uniform,handkerchief,backpack
269,DDkwj1YRdEg,ping-pong_ball,military_uniform,dingo
270,HALG3Ty52mY,rubber_eraser,scoreboard,mixing_bowl
271,4z-GNiazduQ,Dutch_oven,military_uniform,doormat
272,dODSTA6C0m8,necklace,ping-pong_ball,backpack
273,NT0fxgIb38g,dingo,ping-pong_ball,pop_bottle
274,TFNnqDGmgYo,ping-pong_ball,oxcart,pop_bottle
275,JOjjMLh4kJ4,ping-pong_ball,military_uniform,necklace
276,O-TMfCbIy8A,ping-pong_ball,military_uniform,Dungeness_crab
277,eDOFWlyRHyA,ping-pong_ball,golf_ball,safety_pin
278,ulchAKGi_Y0,mixing_bowl,safety_pin,ping-pong_ball
279,DaUHU2I-haA,pop_bottle,Dungeness_crab,pajama
280,ElBxuDVfcl4,nipple,military_uniform,bib
281,CTXtXxD-TYg,ping-pong_ball,pill_bottle,necklace
282,m-Xmk4-itqk,bulletproof_vest,ping-pong_ball,dingo
283,co3MFSGHa20,fire_screen,nipple,cinema
284,VsDtnTvgDB0,ping-pong_ball,magnetic_compass,pop_bottle
285,WVXsqKZgZXw,fire_engine,buckle,ping-pong_ball
286,x4drR-dBA0A,ping-pong_ball,bib,mixing_bowl
287,qmdb5XTNYhY,military_uniform,handkerchief,ping-pong_ball
288,_BZIxt07UNU,ping-pong_ball,pop_bottle,magnetic_compass
289,Gn0twHM_9ms,ping-pong_ball,military_uniform,fire_engine
290,6ayJjfyRRkc,ping-pong_ball,pop_bottle,dingo
291,mgkKG2oGCgE,safety_pin,mixing_bowl,ping-pong_ball
292,uoYNS3C1_Pc,yurt,acorn,bulletproof_vest
293,LEcbagW4O-s,military_uniform,backpack,purse
294,Zn2k0getlRI,ping-pong_ball,pop_bottle,pencil_box
295,QxGVgXf_LNk,ping-pong_ball,pop_bottle,dingo
296,E6UKdBJd7tk,pop_bottle,ping-pong_ball,nipple
297,8AlihXsl7Rs,military_uniform,Labrador_retriever,fountain_pen
298,UggADa3JdzE,ping-pong_ball,dingo,military_uniform
299,Yc9_ZFxMvMw,ping-pong_ball,pop_bottle,dingo
300,0nLoRgi1f78,ping-pong_ball,tow_truck,trailer_truck
301,qqOxkuO3ip0,purse,buckle,military_uniform
302,ZxURKaBjO8w,necklace,military_uniform,Dutch_oven
303,RJ0jdO5ZfU4,buckle,purse,dingo
304,wb_YQgtSKfU,magnetic_compass,ping-pong_ball,buckle
305,BpvlknhpGxU,dingo,ping-pong_ball,Dutch_oven
306,FVFdsl29s_Q,backpack,military_uniform,purse
307,4DlUnGwCyn0,backpack,military_uniform,dingo
308,6lmvG7V0LoE,ping-pong_ball,military_uniform,necklace
309,1ATrcsnXKhc,military_uniform,jeep,magnetic_compass
310,IQ4KoWXQxRA,ping-pong_ball,tow_truck,bottlecap
311,CSVf3tHh9sE,military_uniform,necklace,lens_cap
312,siDdxAq4o_Y,backpack,necklace,ping-pong_ball
313,Z-1kBIGLEyc,military_uniform,ping-pong_ball,handkerchief
314,VUc6S9UBilM,sunglasses,mixing_bowl,bulletproof_vest
315,5IDc88fmRUM,mixing_bowl,safety_pin,rubber_eraser
316,VJElM3wsH5c,ping-pong_ball,nipple,web_site
317,Dqn7NQ228w0,ping-pong_ball,necklace,backpack
318,UMhM8jghPco,ping-pong_ball,tow_truck,oxcart
319,i2O6GMpNWGo,ping-pong_ball,dingo,backpack
320,wbR-5mHI6bo,nipple,fire_screen,necklace
321,oN2ITLbdXSo,fire_screen,Dutch_oven,half_track
322,Nf-kh0pFurM,keeshond,mixing_bowl,military_uniform
323,gI-WEtw1vB4,nipple,dingo,mixing_bowl
324,wwJABxjcvUc,nipple,ping-pong_ball,fire_screen
325,VEybDNZN_Oo,tow_truck,ping-pong_ball,fire_engine
326,YKC27gOpezg,pop_bottle,Dutch_oven,backpack
327,IB5k-0jD2XQ,ping-pong_ball,necklace,military_uniform
328,idGb3ZYasaI,ping-pong_ball,dingo,military_uniform
329,Eo0Ni28WU2g,ping-pong_ball,military_uniform,dingo
330,SSDLzLTZs3U,ping-pong_ball,necklace,military_uniform
331,9mmhe_5R-rM,bib,backpack,cinema
332,9x80ZvFTaV4,scoreboard,German_shepherd,ping-pong_ball
333,-8wAcpNYSas,fire_engine,necklace,military_uniform
334,CBAbD9PD24g,ping-pong_ball,military_uniform,necklace
335,vohFJ8yL0Qw,ping-pong_ball,nipple,knee_pad
336,t7_tnbSSXMQ,ping-pong_ball,trailer_truck,military_uniform
337,xtJ49gXWwA0,military_uniform,backpack,bib
338,h31LDBh1uvg,military_uniform,cinema,reflex_camera
339,-nc146I26SU,mixing_bowl,safety_pin,ping-pong_ball
340,SL45a75_cd4,ping-pong_ball,necklace,magnetic_compass
341,RHXDfgNjnPA,ping-pong_ball,tow_truck,trailer_truck
342,QIahhWQgNgk,Dungeness_crab,ping-pong_ball,bottlecap
343,uctgnv_aX3k,military_uniform,fire_engine,jeep
344,g_uHluYGPtg,ping-pong_ball,magnetic_compass,bib
345,eurX0k0UYoY,ping-pong_ball,dingo,backpack
346,_akEYecFdyM,ping-pong_ball,dingo,nipple
347,XOh_NwePRos,groenendael,cash_machine,red-backed_sandpiper
348,wvZtYgIIe2E,ping-pong_ball,sunglasses,keeshond
349,0dsCVAH1iQ8,fire_screen,ping-pong_ball,cinema
350,UBivwxBgdPQ,mixing_bowl,ping-pong_ball,scoreboard
351,MvvEfguRha0,ping-pong_ball,jeep,oxcart
352,lldfoaV9mc8,military_uniform,keeshond,Labrador_retriever
353,UFJtoVS8Qx0,ping-pong_ball,necklace,buckle
354,--WHBVeDrZM,necklace,sunscreen,lotion
355,EXiZtoKWsLM,ping-pong_ball,dingo,Dungeness_crab
356,FzOrff-KoCg,Dutch_oven,backpack,cinema
357,3dhfunD1a-0,backpack,military_uniform,dingo
358,7LI0lWknANE,mixing_bowl,dingo,bulletproof_vest
