,video_id,label_1,label_2,label_3
172,bHocnamqOJI,butcher_shop,rotisserie,American_lobster
173,L22U8dUpC44,barbershop,street_sign,tobacco_shop
174,DDGhKS6bSAE,guillotine,birdhouse,picket_fence
175,xxV7ubH94aU,Bouvier_des_Flandres,scoreboard,stretcher
176,--lk4QeTVmg,screen,monitor,stage
177,VMxjFTtTquc,carton,safe,projector
178,cnN00ppui-w,paddlewheel,street_sign,cinema
179,vL0yww9nk9o,racer,oil_filter,trailer_truck
180,XSbNb3bQ1pg,abaya,cloak,
181,sG0rVJT_MT0,racer,go-kart,tractor
182,BhP3nG16j7w,pay-phone,gas_pump,carton
183,T0_D4HC-Cwk,volleyball,bikini,seashore
184,ODwJGcswfsA,barbell,toyshop,ocarina
185,MnNisyErEMs,mousetrap,street_sign,horizontal_bar
186,dE7RFxsnrS4,volleyball,basketball,horizontal_bar
187,vre-UCKBt8Y,basketball,stethoscope,crutch
188,OI2NYBm8JYs,prison,,
189,mP_NA_L9zMk,horizontal_bar,parallel_bars,bearskin
190,ZhQOhsl7Bus,bathing_cap,toyshop,horizontal_bar
191,U4qm6mPKHqw,brassiere,bikini,maillot
192,TpLh9vB02MM,barbell,knee_pad,punching_bag
193,TkLO5XtuMUw,stage,microphone,spotlight
194,O5aVKxMacm8,safe,barrel,odometer
195,412--23qbb4,racket,ballplayer,torch
196,6y4BStscwvw,wig,theater_curtain,
197,gPknTQlKGQk,microphone,stage,jersey
198,P42zn7PGyNc,sweatshirt,jersey,pajama
199,4u5I8GYB79Y,stage,theater_curtain,spotlight
200,MHryuYVyHhk,groom,notebook,limousine
201,3ZTnKuV0VpA,birdhouse,street_sign,mailbox
202,o1njZZsUUXM,pinwheel,pencil_sharpener,piggy_bank
203,Y0LA7Ff2hgs,suit,crutch,turnstile
204,uNkTb3ZEILA,pick,remote_control,loudspeaker
205,CKwM4ZEfYdk,stage,theater_curtain,punching_bag
206,xo7Jx0C4A_o,wig,tobacco_shop,bookshop
207,SZ-We5x0Jys,pick,remote_control,loudspeaker
208,jtIZZs-GAOA,suit,turnstile,library
209,WCru1nJI57I,drumstick,shield,mask
210,38-ji37hzlE,scoreboard,racket,jersey
211,FmHLvJkc7Gg,suit,abaya,trench_coat
212,tRwUtg7ZX6Q,volleyball,swimming_trunks,water_bottle
213,qEV9qoup2mQ,wall_clock,ballpoint,pencil_box
214,Ytm8VsQPS3o,screen,toyshop,pencil_box
215,9Y18-07g39g,suit,crutch,turnstile
216,78GVRzSnyGo,totem_pole,home_theater,barbershop
217,LU9JtSwxBqI,picket_fence,shower_curtain,jigsaw_puzzle
218,Lgd78PUXkPo,fur_coat,jersey,remote_control
219,M6jzUhLmoEc,bow,butcher_shop,Great_Dane
220,uuSj5EW6ELA,basketball,volleyball,horizontal_bar
221,ZLLcxNiQ9Yg,stage,spotlight,balance_beam
222,3RwzjHB6y5Y,lighter,matchstick,candle
223,qIsgdOVGA04,mortarboard,steel_drum,bathing_cap
224,Xvt9vcoyipA,jersey,microphone,stage
225,Ll1bLppLh4Y,trench_coat,iron,pajama
226,TBmOMziLNcU,ballplayer,Saluki,Great_Dane
227,2Mkq6GFLIsk,jack-o'-lantern,traffic_light,stage
228,yS5w6Ozpdq4,paddle,swab,parallel_bars
229,PK2SMIOHYig,American_alligator,pot,sarong
230,u9HJDC3I_Qg,scoreboard,jersey,brass
231,eQi3FrEnn5o,abaya,geyser,obelisk
232,ycNSY3d1WLc,packet,guacamole,king_crab
